0	48400	72700	9002
1	53800	66900	9005
2	52800	67400	30308
3	46200	70300	9012
4	56600	68700	9003
5	48400	67700	9001
6	51700	67600	20809
7	53500	71000	20831
8	54900	69600	11000
9	52000	72300	11002
10	51300	69600	11004
11	62300	110000	20811
12	57000	46700	20810
13	56900	71400	20001
14	56900	70000	20349
15	58800	76100	60003
16	57200	70900	20011
17	51700	75500	9006
18	49800	73800	20016
19	21400	53000	20800
20	65500	76700	20799
21	46700	68100	20015
22	63300	92000	20830
23	50500	74800	20823
24	54800	65400	20022
25	48500	58500	20833
26	56100	65800	20849
27	99000	97300	20836
28	4000	53100	10128
29	11100	120200	20798
30	5400	97800	20798
31	9300	41200	20798
